,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046
F022,0.07363376059851169,0.011908330728730415,-0.006272491640982518,0.01709981268357324,0.20893826485899716,-0.012758356304150117,-0.0019830353560766805,0.14517613854462294,-0.005644468853670665,0.00644388624944275,0.0045605174234896245,0.056480500323887316,-0.0015753235532545173,-0.006312034172191517,0.19056720165644708,-0.061191699473530065,-0.009201657052303346,0.10849755727763687,0.014736484080037499,-0.1701032854696915,-0.005812286553491283,,-0.010952120145204748,0.08609053613969726,0.00662964066039384,0.012813578561538957,0.1021233319928914,-0.0020251050343049254,0.2669569788956551,0.07524368998035219,-0.0011352220344078986,-0.223000189257689,-0.00599571478814924,0.012929257649939201,-0.1485427356226941,-0.010976308757057544,0.10262323086698003,0.002942745357195386,0.006008693022009093,0.008488128470751791,4.656183793385325e-05,0.04133716460368388,0.05546384879972316,-0.21412477467289276,0.06347350354372512,0.25784054363455783
F023,0.2308381611652591,0.13002056674672358,0.3183235234496858,0.020416726884129897,0.07082746218728624,,0.16475778896682514,0.1504548952801283,-0.2330017295813682,0.32299631161475184,0.17046331152654756,0.2497633784025629,-0.03990708434338724,0.46075488857315655,0.0026062666974855735,0.0020403071539522636,,0.1651648795449327,0.34928034183336837,0.07405409874786552,0.1962026284657345,-0.010952120145204748,,0.19466320260527178,0.13513736520245298,0.42004857463584916,0.17475274524059342,,0.03316139986881545,0.19191683145373692,-0.12133349145605779,0.05250926216815073,,0.24815108549156067,0.06895640665760325,,0.174926008905259,0.10623997998472266,0.4445994181297754,-0.04456714151456685,,0.1196079976618871,0.24943815268189987,-0.03082832374098183,0.21025256088685532,0.06043093533072796
F024,,0.04297665775478914,0.04133958643772535,0.030633186584766593,0.37485385702420354,0.2378989443974264,0.32119618867779487,,-0.2790033667686435,0.13040544284008615,0.32091605927219485,,-0.023851150320076706,0.09832418017790936,0.09636949065642364,-0.003582023564351358,0.12070046067379867,,0.18132714266763866,0.12895197991851087,0.2254150146426729,0.08609053613969726,0.19466320260527178,,0.2781157881304296,0.17551477986014988,,0.05541348380077897,0.24149439216356072,,-0.19956980409240344,0.09317159023245766,0.08510490359092379,,0.14557528722529123,0.14714690039506348,,0.023080143418234254,0.1641834409090902,0.027165650036190047,0.2402649951831016,0.3919359702232733,,-0.17429186716653808,,0.3613675135222945
F025,0.2813604258055538,0.030225706756398407,0.10365549150257886,0.03970378697419742,0.27270004606568715,0.13376853819787488,,0.20888750095597117,-0.22798736594414906,0.0388405049283476,,0.3436854319980475,-0.09486032011617129,0.06151822522195351,0.0331345212345864,-0.08208551238751735,0.13442285442679142,0.3245157017306742,0.03869857756510409,-0.03256251598089264,,0.00662964066039384,0.13513736520245298,0.2781157881304296,,0.06464754241368792,0.26543527975810266,0.07552933303885888,0.2879407418404131,0.35287240313593615,-0.22953119626248278,-0.03745198762049201,0.0615224107964076,0.28357140369913086,-0.031267766557947184,0.13972773117960902,0.3105645452200491,-0.038320480331912404,0.06779550150762352,-0.008146267756571856,0.07675954412530661,0.11951398521300136,0.32308810988118886,-0.010258990215441854,0.34340230046384873,0.13965055977603705
F026,0.18823903566534025,0.12769855045075126,0.11878761704668431,0.025940241909584924,0.1466142842905039,0.4026955688023395,0.05917149319495177,0.18745784912800809,-0.05976627829723454,,0.05881993908478502,0.2031596919835454,0.003414624494910082,0.10292722349257528,0.024323979950559613,0.021562360450998533,0.32883179273808383,0.20756066287756508,,0.07531829810987667,0.05171602787506341,0.012813578561538957,0.42004857463584916,0.17551477986014988,0.06464754241368792,,0.1943022669278281,0.14255232182934574,0.07710252812384352,0.20086169718411434,-0.05088068137035538,0.0837833156861866,0.1222479046543456,0.16880181653725504,0.06929600374956121,0.4582172232555467,0.2111487821083166,0.0010769303873218801,,-0.008507825590863435,,0.2243378438862247,0.19626591018753603,-0.07226122953552287,0.18415304707725705,0.11621676464223835
F027,,0.04696711969706365,0.03617914130301581,0.03545077656504432,0.42643896794275304,0.21899261962138533,0.28597752405777466,,-0.22936060309769934,0.14853579833536576,0.2923004302412654,,-0.012882762892001971,0.08862849962328025,0.10933720376651286,0.030480738030767257,0.09246742486409198,,0.20392100036056343,0.163533184850248,0.15403427049208634,0.1021233319928914,0.17475274524059342,,0.26543527975810266,0.1943022669278281,,0.041668836167038786,0.2804835487878323,,-0.17110533225291746,0.11982759653586034,0.07866106075487175,,0.18024776035219783,0.12256472519645956,,0.014432854551092285,0.16774180695111918,0.018472125219210267,0.24678764024929487,0.4483734393583704,,-0.23277721047687386,,0.42593411315603064
F028,0.07327734254108487,,0.1791454588982026,0.015735192894232062,0.04597680314447993,,0.07536193036222578,0.03545973801820102,-0.14253293553038196,0.09034792882923737,0.07852153244025213,0.08345289329291321,-0.03274981320948788,,0.011554671926736145,-0.0005391156064944676,,0.045495634692635074,0.11742221580678833,0.013455577903416354,0.10502457067972333,-0.0020251050343049254,,0.05541348380077897,0.07552933303885888,0.14255232182934574,0.041668836167038786,,0.03150047320799371,0.046041845140641156,-0.06795604186205541,0.019263405706166872,,0.08247718842744382,0.014246445952176978,,0.046450904734158145,0.27732521548277006,0.176561547435376,-0.024782360212093874,0.1805283318567145,0.03772527098220566,0.08053493386590231,-0.006573706192899292,0.05999156879779445,0.028537852074297137
F029,0.20620819205821264,0.05406438538962879,0.025094073422106296,0.020492178185208428,,0.0316545680679224,0.14585387924795154,0.36901773518442776,-0.07446032342805171,0.0690961300472752,0.1673414073811353,0.23033984887699846,-0.006509435079607005,0.02186283776548829,0.10745027506716093,0.04009508704517722,0.028241882953025887,0.3961934889091494,0.08950397322944025,0.01683985148009812,0.08809770358222631,0.2669569788956551,0.03316139986881545,0.24149439216356072,0.2879407418404131,0.07710252812384352,0.2804835487878323,0.03150047320799371,,0.29346856616550826,-0.06262080787026726,0.07377086520843505,0.019421829240011148,0.036610707686658965,0.00636911525031832,0.034579231491596904,0.35793296686801596,0.00355019569363295,0.08394439450741853,0.0036127979122634706,0.0685015841629034,0.13754282884337968,0.1971460135754788,-0.17472558837981725,0.24173219506070998,
F030,,0.04911566029217369,0.04396161153592232,0.0387982525466268,0.4369781574796678,0.24494229727313815,0.4020299808914502,,-0.21787734358312266,0.14769913471580418,0.4029928901660586,,-0.025626604268247095,0.09718450479660314,0.07360385373420068,0.002663430911853884,0.10433009307916857,,0.20568197469104169,0.11296614210422301,0.2560363389829948,0.07524368998035219,0.19191683145373692,,0.35287240313593615,0.20086169718411434,,0.046041845140641156,0.29346856616550826,,-0.16927854198728795,0.08311345751111213,0.08750194689982363,,0.1247369905952458,0.13537237371738398,,0.004751588513108384,0.16772110363260928,0.026088800967827553,0.25716676594761717,0.44257853018284254,,-0.13991796865400505,,0.3325655116198901
F031,-0.21711257253982844,-0.0054185605526600455,-0.08155320098352967,-0.042714268224892306,-0.09286714307855014,-0.1257814467663859,-0.31267421639381454,-0.1286217351967662,0.3788695810354104,-0.019473724174089248,-0.29073613895866474,-0.20176994943215748,0.07601042206090879,-0.03555715217558529,0.041343775394155874,-0.005361933752647313,-0.11724151991292811,-0.12398550224031375,-0.020755661925737568,-0.02903034474971617,-0.3817220472134247,-0.0011352220344078986,-0.12133349145605779,-0.19956980409240344,-0.22953119626248278,-0.05088068137035538,-0.17110533225291746,-0.06795604186205541,-0.06262080787026726,-0.16927854198728795,,-0.02137499784436613,-0.03788696646047992,-0.21073574828803407,-0.03226854674871843,-0.11944235110789504,-0.12917611435974893,-0.0044408891130211636,-0.043321346989370645,0.10052749246599876,-0.053500083285736875,-0.09204141291192888,-0.2039032009924327,0.02143695443799529,-0.18828067807393759,-0.08037727105632946
F032,0.07918916544048321,0.02750412640193461,-0.012292765010280872,0.005541679769339961,0.11569088874342436,0.052008111613358735,-0.03630876686131893,0.15712672961051427,-0.04346041669331011,0.07071531113827685,-0.04134351637303283,0.059934415009325046,-0.0008649914825520626,0.03016356830642294,-0.04680507832813233,0.17760682090517638,0.026921307971493502,0.10450400671376495,0.0941972062601204,,-0.024528730357699348,-0.223000189257689,0.05250926216815073,0.09317159023245766,-0.03745198762049201,0.0837833156861866,0.11982759653586034,0.019263405706166872,0.07377086520843505,0.08311345751111213,-0.02137499784436613,,0.03306881979469487,0.042043514692665145,0.49918045099716735,0.042531676471803094,0.10400437640506169,0.009018303408385154,0.08024246713000177,-0.009146975433769841,0.08394054648013141,0.11484553290236488,0.05780751036226599,-0.188695965829131,0.06521000439993502,0.1605952351695412
F033,0.09130540969459264,0.35657144502430516,0.15497503578350247,0.01705816542375651,0.04499499650205434,,0.07468066481079082,0.08243114552850411,-0.10858741763803763,0.2225108955236657,0.08359108313716065,0.10142160793057517,-0.019835167019574367,,0.01086131541147132,0.010505839733234792,0.47040929760624056,0.0999494323638958,0.1404508856232728,0.04045085511684106,0.08620784125030186,-0.00599571478814924,,0.08510490359092379,0.0615224107964076,0.1222479046543456,0.07866106075487175,,0.019421829240011148,0.08750194689982363,-0.03788696646047992,0.03306881979469487,,0.09804172200035177,0.03525790136516463,0.4840417721985289,0.0992231697028026,,0.19896680789645413,-0.017838073312154132,0.32323410384107515,0.06256892494018676,0.09682403987157517,-0.020163040126447276,0.08907283958695493,0.034204771744522786
F034,,0.035460444084719205,0.04588643046645432,0.029135108456554645,0.09975683739323087,0.29844751095880656,0.39425782552054023,0.3391642934318169,-0.2867087373806161,0.10822134961667267,0.3765226687454065,,-0.03620909379878416,0.10637201202483566,0.01893190871371396,-0.04398253379993174,0.17858492205361984,0.3927430303108614,0.15209806869145115,0.08697739451148181,0.38731428051783817,0.012929257649939201,0.24815108549156067,,0.28357140369913086,0.16880181653725504,,0.08247718842744382,0.036610707686658965,,-0.21073574828803407,0.042043514692665145,0.09804172200035177,,0.1032560705028759,0.20001814841681242,0.42093940159585375,0.031114403773379398,0.15333008614794355,0.04075207705526514,0.24189114138863957,0.2606606722608352,,-0.04789076479231705,,0.07644286606004383
F035,0.1273470486107766,0.01111398463655516,-0.023779916045511034,0.004212278466342411,0.032981527354753175,0.096126081097817,-0.07311344163849191,0.1830820535347472,-0.06831812981014936,0.05573633644103401,-0.06397575470840833,0.09850517513116486,-0.0024234439143940053,0.04535255532008079,-0.06045018224722461,0.14520333207603786,0.027640845121138107,0.10652394963356615,0.07394565527485544,,-0.051929883883820194,-0.1485427356226941,0.06895640665760325,0.14557528722529123,-0.031267766557947184,0.06929600374956121,0.18024776035219783,0.014246445952176978,0.00636911525031832,0.1247369905952458,-0.03226854674871843,0.49918045099716735,0.03525790136516463,0.1032560705028759,,0.0400861118414311,0.12039326777047303,0.012720597550416003,0.056202446041373824,-0.017164497276160946,0.10170732460867696,0.12964086632750893,0.09364651930962312,-0.1434710766745374,0.10206214004047659,0.0546464470035106
